# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'task-clock'
# Event count (approx.): 58808080220
#
# Overhead  Command          Shared Object                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .................................................  ..............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.07%  VLLM::EngineCor  python3.10                                         [.] 0x00000000001a1abb
     0.07%  vllm             [kernel.kallsyms]                                  [k] finish_task_switch.isra.0
     0.05%  VLLM::EngineCor  [kernel.kallsyms]                                  [k] do_syscall_64
     0.05%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000bcb
     0.05%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000bcd
     0.05%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_DiscoverDTypeAndShape_Recursive
     0.05%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_FromAny_int
     0.05%  VLLM::EngineCor  ld-linux-x86-64.so.2                               [.] __tls_get_addr
     0.05%  VLLM::EngineCor  libc.so.6                                          [.] __parse_one_specmb
     0.05%  VLLM::EngineCor  libc.so.6                                          [.] _int_malloc
     0.05%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000022114c
     0.05%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000029e6a8
     0.05%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000031bcb8
     0.05%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000003bfdc4
     0.05%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000040765a
     0.05%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d329
     0.05%  VLLM::EngineCor  python3.10                                         [.] _PyFunction_Vectorcall
     0.05%  VLLM::EngineCor  python3.10                                         [.] _PyObject_MakeTpCall
     0.05%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000152a55
     0.05%  ZMQbg/IO/0       [kernel.kallsyms]                                  [k] finish_task_switch.isra.0
     0.05%  vllm             loop.cpython-310-x86_64-linux-gnu.so               [.] uv__io_poll
     0.05%  vllm             python3.10                                         [.] PyIter_Send
     0.05%  vllm             python3.10                                         [.] _PyFunction_Vectorcall
     0.05%  vllm             python3.10                                         [.] _PyObject_GetMethod
     0.03%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] INT_copyswap
     0.03%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_CastingConverter
     0.03%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_FromStructInterface
     0.03%  VLLM::EngineCor  libc.so.6                                          [.] __memset_avx512_unaligned_erms
     0.03%  VLLM::EngineCor  libc.so.6                                          [.] malloc
     0.03%  VLLM::EngineCor  libc.so.6                                          [.] unlink_chunk.constprop.0
     0.03%  VLLM::EngineCor  libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::DeviceCachingAllocator::alloc_found_block(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::AllocParams const&, unsigned long, std::shared_ptr<c10::GatheredContext>, bool)
     0.03%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000221150
