# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 51K of event 'task-clock'
# Event count (approx.): 260417052875
#
# Overhead  Command  Shared Object                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
# ........  .......  .................................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.01%  python   python3.10                                         [.] 0x000000000016958e
     0.01%  python   python3.10                                         [.] 0x000000000016b79c
     0.01%  python   python3.10                                         [.] 0x000000000016b7e0
     0.01%  python   python3.10                                         [.] 0x000000000016d30d
     0.01%  python   python3.10                                         [.] 0x000000000016d389
     0.01%  python   python3.10                                         [.] 0x0000000000171cbe
     0.01%  python   python3.10                                         [.] 0x0000000000171da0
     0.01%  python   python3.10                                         [.] 0x0000000000173b9a
     0.01%  python   python3.10                                         [.] 0x0000000000173d01
     0.01%  python   python3.10                                         [.] 0x0000000000180c15
     0.01%  python   python3.10                                         [.] 0x0000000000180c7f
     0.01%  python   python3.10                                         [.] 0x0000000000180c86
     0.01%  python   python3.10                                         [.] 0x000000000019441d
     0.01%  python   python3.10                                         [.] 0x00000000001980bd
     0.01%  python   python3.10                                         [.] 0x00000000001a17ff
     0.01%  python   python3.10                                         [.] 0x00000000001a1a90
     0.01%  python   python3.10                                         [.] 0x00000000001a3a43
     0.01%  python   python3.10                                         [.] 0x00000000001a6470
     0.01%  python   python3.10                                         [.] 0x00000000001c88be
     0.01%  python   python3.10                                         [.] 0x00000000001de8c0
     0.01%  python   python3.10                                         [.] 0x000000000022038a
     0.01%  python   python3.10                                         [.] 0x00000000002203c0
     0.01%  python   python3.10                                         [.] 0x00000000002210e0
     0.01%  python   [kernel.kallsyms]                                  [k] ext4_htree_store_dirent
     0.01%  python   [kernel.kallsyms]                                  [k] filemap_map_pages
     0.01%  python   [kernel.kallsyms]                                  [k] finish_task_switch.isra.0
     0.01%  python   [kernel.kallsyms]                                  [k] get_mem_cgroup_from_mm
     0.01%  python   [kernel.kallsyms]                                  [k] kmem_cache_free
     0.01%  python   [kernel.kallsyms]                                  [k] llist_add_batch
     0.01%  python   [kernel.kallsyms]                                  [k] mas_rev_awalk
     0.01%  python   [kernel.kallsyms]                                  [k] perf_iterate_ctx
     0.01%  python   [kernel.kallsyms]                                  [k] str2hashbuf_signed
     0.01%  python   _backend_agg.cpython-310-x86_64-linux-gnu.so       [.] RendererAgg::RendererAgg(unsigned int, unsigned int, double)
     0.01%  python   _backend_agg.cpython-310-x86_64-linux-gnu.so       [.] agg::rasterizer_cells_aa<agg::cell_aa>::line(int, int, int, int)
     0.01%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] Dragon4.constprop.0
     0.01%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_GetCastingImpl
     0.01%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_Pack
     0.01%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] array_subscript
     0.01%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] npy_find_array_wrap
     0.01%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] try_trivial_single_output_loop
     0.01%  python   _path.cpython-310-x86_64-linux-gnu.so              [.] pybind11::cpp_function::dispatcher(_object*, _object* const*, unsigned long, _object*)
